date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:31	332/332	U-----	200	untouched ('OK')	text/plain	date:Sun,%2005%20Feb%202023%2000:13:05%20GMT	https://kendell-landscaping.com/robots.txt		(from )
17:16:32	315780/315780	U--M-Z	200	updated ('OK')	text/html	etag:W/%222bb190803a58e63a1469ff76c67a0839%22	https://kendell-landscaping.com/	C:/My%20Web%20Sites/KendellSq/kendell-landscaping.com/index.html	(from )
17:16:33	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sun,%2005%20Feb%202023%2000:17:49%20GMT	http://static1.squarespace.com/static/613879197759b87d946180bc/t/613937f560236d737ef1a2be/1631139829864/logokendell.png?format=1500w	C:/My%20Web%20Sites/KendellSq/static1.squarespace.com/static/613879197759b87d946180bc/t/613937f560236d737ef1a2be/1631139829864/logokendell.026f7.delayed	(from https://kendell-landscaping.com/)
17:16:33	42387/42387	U-----	200	untouched ('')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://kendell-landscaping.com/)
17:16:33	17368/17368	U-----	200	untouched ('')	text/javascript	date:Sun,%2005%20Feb%202023%2000:13:08%20GMT	http://use.typekit.net/ik/nwLasXabtioG-o2dgui4c4tVFTRlcok1yR5auVA1WCGfeGCIfFHN4UJLFRbh52jhWDjUwD6a5QIoFDSu5AJtFhboF2jU52gKjU7KMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-hm0ZemCdeUydcsDjhB3-Ao1O1FUiABkZWF3jAF8OcFzdP37O1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80ZkoRdhXCjAFu-WsoShFGZAsude80Zko0ZWbCjWw0dA9C-hm0ZemCdfuCjAoqShFySe80ZkoRdhXC-hm0ZemCdeUydcsDjhB3-Ao1O1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0-hm0ZemCdfuCjAoqShFySe80ZkoRdhXCiaiaOcl8dcs8deUCjAoqShFySe80ZkoDSWmyScmDSeBRZPoRdhXCiaiaO1FUiABkZWF3jAF8ShFGZAsude80ZkoRdhXK2YgkdayTdAIldcNhjPG4f5J7IMMjMkMfH6qJK3IbMg6YJMJ7fbRRHyMMeMX6MKG4fJ3gIMMjIPMfqMe4t4pbg6.js	C:/My%20Web%20Sites/KendellSq/use.typekit.net/ik/nwLasXabtioG-o2dgui4c4tVFTRlcok1yR5auVA1WCGfeGCIfFHN4UJLFRbh52jhWDjUwD6a5QIoFDSu5AJtFhboF2jU52gKjU7KMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-hm0ZemCdeUydcs	(from https://kendell-landscaping.com/)
17:16:33	389828/389828	U-----	200	untouched ('')	image/png	etag:CLatyq+18PICEAE=	https://images.squarespace-cdn.com/content/613879197759b87d946180bc/9faa69c8-837c-46ab-b45c-1e7981da3dd0/logokendell.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/KendellSq/images.squarespace-cdn.com/content/613879197759b87d946180bc/9faa69c8-837c-46ab-b45c-1e7981da3dd0/logokendell2acd.png	(from https://kendell-landscaping.com/)
17:16:34	117609/117609	U-----	200	untouched ('')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://kendell-landscaping.com/)
17:16:34	45421/45421	U-----	200	untouched ('')	text/javascript	etag:%22a363136e278db0aa82e8ca983853e409%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-63b0e27d9bfcb49b0f05f-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-63b0e27d9bfcb49b0f05f-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:35	589307/589307	U-----	200	untouched ('')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:35	259602/259602	---M-Z	200	added ('OK')	text/html	etag:W/%2210a28772eba677e90194edcd809647f5--gzip%22	https://kendell-landscaping.com/contact-us	C:/My%20Web%20Sites/KendellSq/kendell-landscaping.com/contact-us.html	(from https://kendell-landscaping.com/)
17:16:35	121914/121914	U-----	200	untouched ('')	text/javascript	etag:%22ed50d686d52e72628c6a3bead3317fef%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-c6a38111aec507149cb3d-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:35	245973/245973	U-----	200	untouched ('')	text/javascript	etag:%22c7db15035020752c23874ffad6594fb7%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-fd2acc815706e38fcfdf0-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:35	742953/742953	U-----	200	untouched ('')	text/javascript	etag:%2290a5978758425b3916b42fc20a0eed72%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-1e40c2d559aaea1e42779-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/common-vendors-1e40c2d559aaea1e42779-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:35	1190558/1190558	U-----	200	untouched ('')	text/javascript	etag:%22165a72c5efb0e9e80bc65e60c20f2041%22	http://assets.squarespace.com/universal/scripts-compressed/common-eafaea618b76bf9d37e6b-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/common-eafaea618b76bf9d37e6b-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:35	249418/249418	U-----	200	untouched ('')	text/javascript	etag:%22ba41d15b993e9b2e562b6834b8229c64%22	http://assets.squarespace.com/universal/scripts-compressed/performance-2b31864e00dd18f9fadd4-min.en-US.js	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/scripts-compressed/performance-2b31864e00dd18f9fadd4-min.en-US.js	(from https://kendell-landscaping.com/)
17:16:36	389828/389828	U-----	200	untouched ('')	image/png	etag:CLatyq+18PICEAE=	http://images.squarespace-cdn.com/content/v1/613879197759b87d946180bc/9faa69c8-837c-46ab-b45c-1e7981da3dd0/logokendell.png?format=1500w	C:/My%20Web%20Sites/KendellSq/images.squarespace-cdn.com/content/v1/613879197759b87d946180bc/9faa69c8-837c-46ab-b45c-1e7981da3dd0/logokendell26f7.png	(from https://kendell-landscaping.com/)
17:16:37	958010/958010	U--M-Z	200	updated ('OK')	text/css	date:Sun,%2005%20Feb%202023%2000:17:53%20GMT	https://static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css	C:/My%20Web%20Sites/KendellSq/static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css	(from https://kendell-landscaping.com/)
17:16:37	247884/247884	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2005%20Feb%202023%2000:17:53%20GMT	https://kendell-landscaping.com/cart	C:/My%20Web%20Sites/KendellSq/kendell-landscaping.com/cart.html	(from https://kendell-landscaping.com/)
17:16:37	325021/325021	U--MCZ	200	updated ('OK')	text/html	etag:W/%22e4dcc61a926dea9deaab455577b26bc2--gzip%22	https://kendell-landscaping.com/services	C:/My%20Web%20Sites/KendellSq/kendell-landscaping.com/services.html	(from https://kendell-landscaping.com/)
17:16:38	256472/256472	U--M-Z	200	updated ('OK')	text/html	etag:W/%228c90300111714ee9b839a4b0d31658ca%22	https://kendell-landscaping.com/about	C:/My%20Web%20Sites/KendellSq/kendell-landscaping.com/about.html	(from https://kendell-landscaping.com/)
17:16:38	1262/1262	U-----	200	untouched ('')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css)
17:16:38	1676/1676	U-----	200	untouched ('')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css)
17:16:38	253526/253526	U--MC-	404	error ('Not%20Found')	text/html	etag:W/%2222182a11f47132f72481107ebc25d7d8%22	https://kendell-landscaping.com/contact	C:/My%20Web%20Sites/KendellSq/kendell-landscaping.com/contact.html	(from https://kendell-landscaping.com/)
17:16:38	177700/177700	U-----	200	untouched ('')	application/javascript	date:Sun,%2005%20Feb%202023%2000:14:15%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.99163b73755b8f7c4a34d12baf96779c.js	C:/My%20Web%20Sites/KendellSq/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.99163b73755b8f7c4a34d12baf96779c.js	(from https://kendell-landscaping.com/)
17:16:38	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2016%20Jun%204681%2019:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/My%20Web%20Sites/KendellSq/static1.squarespace.com/universal/images-v6/icons/opentable-icons.c.delayed	(from https://static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css)
17:16:40	1219/1219	U-----	200	untouched ('')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css)
17:16:40	3097/3097	U-----	200	untouched ('')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	C:/My%20Web%20Sites/KendellSq/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/613879197759b87d946180bc/22/5c5a519771c10ba3470d8101/6138791a7759b87d946180d6/1341/site.css)
